task,k_shot,seed,repeat,feature_mode,src_tail_weight,hash_disjoint,group_disjoint,target_available_after_hash_class0,target_available_after_hash_class1,target_excluded_hash_overlap_class0,target_excluded_hash_overlap_class1,support_count,query_count,query_count_class0,query_count_class1,support_groups,query_groups,hash_drop_side,hash_drop_side_requested,source_initial_count,source_after_hash_count,target_source_hash_overlap_raw,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,10,2026,9,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,14,85,source,source,15948,11537,2695,CosMetricHead,0.694,0.6702586206896551,0.796352,0.314,0.128,,,
open+speedboat->uuv,10,2026,9,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,14,85,source,source,15948,11537,2695,RegMahaProxy-TC,0.742,0.7485380116959064,0.8047,0.396,0.212,0.768,0.284,-8.84394683837891
open+speedboat->uuv,20,2026,0,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,26,84,source,source,15948,11537,2695,CE-Proto,0.581,0.6102325581395349,0.694164,0.196,0.13,,,
open+speedboat->uuv,20,2026,0,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,26,84,source,source,15948,11537,2695,CE-LinearHead,0.801,0.7885228480340064,0.903292,0.59,0.388,,,
open+speedboat->uuv,20,2026,0,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,26,84,source,source,15948,11537,2695,CosMetricHead,0.795,0.7835269271383316,0.8755160000000001,0.564,0.194,,,
open+speedboat->uuv,20,2026,0,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,26,84,source,source,15948,11537,2695,RegMahaProxy-TC,0.796,0.8015564202334631,0.8844999999999998,0.49,0.224,0.824,0.232,-1.366120147705078
open+speedboat->uuv,20,2026,1,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,86,source,source,15948,11537,2695,CE-Proto,0.599,0.6191832858499525,0.702148,0.156,0.09,,,
open+speedboat->uuv,20,2026,1,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,86,source,source,15948,11537,2695,CE-LinearHead,0.778,0.7692307692307693,0.874744,0.504,0.252,,,
open+speedboat->uuv,20,2026,1,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,86,source,source,15948,11537,2695,CosMetricHead,0.778,0.7692307692307693,0.855812,0.364,0.148,,,
open+speedboat->uuv,20,2026,1,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,86,source,source,15948,11537,2695,RegMahaProxy-TC,0.808,0.8128654970760234,0.8929079999999999,0.584,0.3,0.834,0.218,-0.8961910247802732
open+speedboat->uuv,20,2026,2,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,CE-Proto,0.591,0.6166822867853796,0.6869120000000001,0.144,0.008,,,
open+speedboat->uuv,20,2026,2,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,CE-LinearHead,0.82,0.8207171314741036,0.9019000000000001,0.592,0.28,,,
