task,k_shot,seed,repeat,baseline,final_method,metric,baseline_value,final_value,delta
open+uuv->speedboat,10,2028,3,CE-Proto,RegMahaProxy-TC,auc,0.424074,0.569396,0.145322
open+uuv->speedboat,10,2028,4,CE-Proto,RegMahaProxy-TC,auc,0.5436840000000001,0.603264,0.059579999999999966
open+uuv->speedboat,10,2028,5,CE-Proto,RegMahaProxy-TC,auc,0.4537319999999999,0.5001099999999999,0.04637800000000003
open+uuv->speedboat,10,2028,6,CE-Proto,RegMahaProxy-TC,auc,0.573028,0.5731040000000001,7.6000000000076e-05
open+uuv->speedboat,10,2028,7,CE-Proto,RegMahaProxy-TC,auc,0.57176,0.590344,0.018583999999999934
open+uuv->speedboat,10,2028,8,CE-Proto,RegMahaProxy-TC,auc,0.479694,0.564872,0.08517800000000003
open+uuv->speedboat,10,2028,9,CE-Proto,RegMahaProxy-TC,auc,0.57612,0.63608,0.05996000000000001
open+uuv->speedboat,20,2028,0,CE-Proto,RegMahaProxy-TC,auc,0.560704,0.59482,0.034116000000000035
open+uuv->speedboat,20,2028,1,CE-Proto,RegMahaProxy-TC,auc,0.6240139999999998,0.622616,-0.0013979999999998993
open+uuv->speedboat,20,2028,2,CE-Proto,RegMahaProxy-TC,auc,0.513904,0.597504,0.08360000000000001
open+uuv->speedboat,20,2028,3,CE-Proto,RegMahaProxy-TC,auc,0.5983120000000001,0.684568,0.08625599999999989
open+uuv->speedboat,20,2028,4,CE-Proto,RegMahaProxy-TC,auc,0.58938,0.626156,0.03677600000000003
