task,k_shot,method,acc_mean,acc_std,acc_count,f1_mean,f1_std,f1_count,auc_mean,auc_std,auc_count,pd_at_pfa_0.05_mean,pd_at_pfa_0.05_std,pd_at_pfa_0.05_count,pd_at_pfa_0.01_mean,pd_at_pfa_0.01_std,pd_at_pfa_0.01_count,pd_tc_mean,pd_tc_std,pd_tc_count,pfa_tc_mean,pfa_tc_std,pfa_tc_count
open+speedboat->uuv,20,CosMetricHead,0.7489,0.03745374158372823,30,0.7444257370860604,0.045381925430689564,30,0.8268381333333333,0.039593001230828276,30,0.39513333333333345,0.10025716358732036,30,0.20026666666666665,0.08960870236885414,30,,,0,,,0
open+speedboat->uuv,20,RegMahaProxy-TC,0.7556333333333334,0.04255421153705273,30,0.7724208889765164,0.03561094071572906,30,0.8511512,0.040455856455460446,30,0.47533333333333333,0.09783354383262723,30,0.2592000000000001,0.09462317278334205,30,0.8282000000000002,0.06144097251385489,30,0.3169333333333333,0.09666398727955312,30
open+speedboat->uuv,50,CE-LinearHead,0.7741999999999999,0.040215282735761484,30,0.7683273614412516,0.04350459247002829,30,0.8591622666666668,0.03906279931609099,30,0.5206666666666666,0.05865464871680639,30,0.3401333333333333,0.0837828611118763,30,,,0,,,0
open+speedboat->uuv,50,CE-Proto,0.5885666666666668,0.03991774588803341,30,0.6116742754666479,0.04165193755837612,30,0.6584791333333333,0.046761336501012475,30,0.17693333333333336,0.06089161277012726,30,0.07120000000000001,0.04004686909282586,30,,,0,,,0
open+speedboat->uuv,50,CosMetricHead,0.7825999999999999,0.03401379030679293,30,0.7820788748819801,0.03689968212190888,30,0.8576498666666666,0.030031735815958794,30,0.4507333333333334,0.08798351465231832,30,0.2411333333333333,0.08742079502211615,30,,,0,,,0
open+speedboat->uuv,50,RegMahaProxy-TC,0.7998999999999998,0.03329217574021313,30,0.7869050228116781,0.045350491516297546,30,0.8889164666666667,0.028931498566302255,30,0.5821333333333335,0.07974776327350153,30,0.3751333333333334,0.1031566379542441,30,0.7485333333333332,0.08625852614862678,30,0.14873333333333336,0.05251071045647429,30
open+uuv->speedboat,5,CE-LinearHead,0.5219333333333332,0.04615037888538262,30,0.5163700489756246,0.09279348755580008,30,0.5282090666666667,0.0634904527641936,30,0.06440000000000004,0.031392509539258144,30,0.017933333333333336,0.013072564936652199,30,,,0,,,0
open+uuv->speedboat,5,CE-Proto,0.5197333333333333,0.0430804646769462,30,0.5221688858986425,0.0771080128277264,30,0.5210446000000001,0.06846560977781672,30,0.05133333333333335,0.027878224518409538,30,0.015533333333333333,0.013713153346792403,30,,,0,,,0
open+uuv->speedboat,5,CosMetricHead,0.5198666666666666,0.04230654415289578,30,0.510635382474934,0.07823822178566484,30,0.5166055999999999,0.05872025050778098,30,0.05640000000000002,0.025593102519071893,30,0.015333333333333336,0.01345575978027134,30,,,0,,,0
open+uuv->speedboat,5,RegMahaProxy-TC,0.5230333333333335,0.04074350664011792,30,0.5777868016226289,0.06990673185121624,30,0.5281393999999999,0.061539105342751,30,0.0628666666666667,0.030772506014895527,30,0.0172,0.01240244692208648,30,0.6709999999999999,0.14586318577871948,30,0.6249333333333332,0.13583736049315417,30
