task,k_shot,seed,repeat,feature_mode,src_tail_weight,group_disjoint,support_groups,query_groups,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+uuv->speedboat,10,2026,0,logmel,0.0,True,20,175,CE-LinearHead,0.53,0.5765765765765766,0.5254777777777778,0.023333333333333334,0.006666666666666667,,,
open+uuv->speedboat,10,2026,0,logmel,0.0,True,20,175,CosMetricHead,0.4683333333333333,0.45840407470288624,0.4723111111111111,0.07,0.023333333333333334,,,
open+uuv->speedboat,10,2026,0,logmel,0.0,True,20,175,RegMahaProxy-TC,0.54,0.4888888888888889,0.5439555555555555,0.09,0.013333333333333334,0.44,0.36,1.2519326210021968
open+uuv->speedboat,10,2026,1,logmel,0.0,True,20,181,CE-Proto,0.5166666666666667,0.49122807017543857,0.5628555555555554,0.11,0.023333333333333334,,,
open+uuv->speedboat,10,2026,1,logmel,0.0,True,20,181,CE-LinearHead,0.6466666666666666,0.6442953020134228,0.6881222222222222,0.13333333333333333,0.04,,,
open+uuv->speedboat,10,2026,1,logmel,0.0,True,20,181,CosMetricHead,0.615,0.5940246045694201,0.6661888888888889,0.16666666666666666,0.05333333333333334,,,
open+uuv->speedboat,10,2026,1,logmel,0.0,True,20,181,RegMahaProxy-TC,0.6233333333333333,0.6143344709897611,0.6609888888888888,0.13,0.023333333333333334,0.6,0.35333333333333333,-0.49530200958252246
open+uuv->speedboat,10,2026,2,logmel,0.0,True,20,179,CE-Proto,0.49333333333333335,0.5189873417721519,0.4812222222222222,0.06333333333333334,0.03333333333333333,,,
open+uuv->speedboat,10,2026,2,logmel,0.0,True,20,179,CE-LinearHead,0.5216666666666666,0.5697151424287856,0.4970444444444445,0.01,0.0033333333333333335,,,
open+uuv->speedboat,10,2026,2,logmel,0.0,True,20,179,CosMetricHead,0.5183333333333333,0.3837953091684435,0.4975888888888889,0.06333333333333334,0.023333333333333334,,,
open+uuv->speedboat,10,2026,2,logmel,0.0,True,20,179,RegMahaProxy-TC,0.5116666666666667,0.26932668329177056,0.5644444444444444,0.05,0.016666666666666666,0.18,0.15666666666666668,1.6104509353637688
open+uuv->speedboat,20,2026,0,logmel,0.0,True,40,166,CE-Proto,0.5283333333333333,0.5639445300462249,0.5102777777777777,0.06,0.013333333333333334,,,
open+uuv->speedboat,20,2026,0,logmel,0.0,True,40,166,CE-LinearHead,0.575,0.6330935251798561,0.5752222222222223,0.03333333333333333,0.0033333333333333335,,,
open+uuv->speedboat,20,2026,0,logmel,0.0,True,40,166,CosMetricHead,0.5933333333333334,0.6693766937669376,0.606,0.07333333333333333,0.03333333333333333,,,
open+uuv->speedboat,20,2026,0,logmel,0.0,True,40,166,RegMahaProxy-TC,0.61,0.5714285714285714,0.6519999999999999,0.07333333333333333,0.05,0.52,0.3,0.10669736862182636
open+uuv->speedboat,20,2026,1,logmel,0.0,True,40,159,CE-Proto,0.5483333333333333,0.5837173579109063,0.5455444444444444,0.06,0.023333333333333334,,,
open+uuv->speedboat,20,2026,1,logmel,0.0,True,40,159,CE-LinearHead,0.6083333333333333,0.6345256609642301,0.6476222222222222,0.11666666666666667,0.056666666666666664,,,
open+uuv->speedboat,20,2026,1,logmel,0.0,True,40,159,CosMetricHead,0.6333333333333333,0.6666666666666666,0.6964,0.14,0.04,,,
open+uuv->speedboat,20,2026,1,logmel,0.0,True,40,159,RegMahaProxy-TC,0.5933333333333334,0.46255506607929514,0.6973444444444444,0.18666666666666668,0.09,0.35,0.16333333333333333,0.22529525756836022
open+uuv->speedboat,20,2026,2,logmel,0.0,True,40,166,CE-Proto,0.5666666666666667,0.6096096096096096,0.5768722222222222,0.1,0.02,,,
open+uuv->speedboat,20,2026,2,logmel,0.0,True,40,166,CE-LinearHead,0.635,0.6164623467600701,0.6379333333333332,0.06333333333333334,0.016666666666666666,,,
open+uuv->speedboat,20,2026,2,logmel,0.0,True,40,166,CosMetricHead,0.6516666666666666,0.669826224328594,0.6842111111111111,0.14333333333333334,0.04,,,
open+uuv->speedboat,20,2026,2,logmel,0.0,True,40,166,RegMahaProxy-TC,0.5883333333333334,0.46187363834422657,0.6435777777777778,0.11666666666666667,0.03,0.35333333333333333,0.17666666666666667,1.7779314994812014
open+uuv->speedboat,5,2027,0,logmel,0.0,True,10,185,CE-Proto,0.49333333333333335,0.45323741007194246,0.528888888888889,0.09333333333333334,0.04,,,
open+uuv->speedboat,5,2027,0,logmel,0.0,True,10,185,CE-LinearHead,0.57,0.6018518518518519,0.5504555555555556,0.02,0.0,,,
open+uuv->speedboat,5,2027,0,logmel,0.0,True,10,185,CosMetricHead,0.5766666666666667,0.60062893081761,0.5720111111111111,0.08,0.04,,,
open+uuv->speedboat,5,2027,0,logmel,0.0,True,10,185,RegMahaProxy-TC,0.545,0.6513409961685823,0.6024222222222222,0.03,0.0033333333333333335,0.85,0.76,-1.5386276245117188
